ZIP,EV Network,Latitude,Longitude
12065,ChargePoint Network,42.845312,-73.807884
14432,ChargePoint Network,42.959843,-77.135293
11219,ChargePoint Network,40.63851,-73.998605
12020,ChargePoint Network,42.978535,-73.86158
14604,ChargePoint Network,43.157689,-77.607116
11762,ChargePoint Network,40.67726,-73.440667
14227,ChargePoint Network,42.90265,-78.753197
11779,Non-Networked,40.79009,-73.130392
13760,ChargePoint Network,42.107059,-76.035088
11961,Non-Networked,40.872412,-72.878082
12180,ChargePoint Network,42.730522,-73.68806
10023,Tesla Destination,40.771561,-73.985834
12866,ChargePoint Network,43.094795,-73.743675
13210,ChargePoint Network,43.035231,-76.139688
12970,ChargePoint Network,44.44867,-74.2581
10023,Tesla Destination,40.775496,-73.981552
12508,EV Connect,41.505079,-73.983205
12866,ChargePoint Network,43.096185,-73.786437
11788,ChargePoint Network,40.808219,-73.241735
11101,Tesla Destination,40.742875,-73.935806
11724,EV Connect,40.857202,-73.453666
13502,ChargePoint Network,43.096634,-75.251656
12983,ChargePoint Network,44.32269,-74.12324
11901,ChargePoint Network,40.921556,-72.716716
14611,EV Connect,43.124109,-77.635749
14203,ChargePoint Network,42.895786,-78.868325
14617,ChargePoint Network,43.202337,-77.574576
12401,ChargePoint Network,41.948038,-73.996345
12065,ChargePoint Network,42.850615,-73.757243
10001,Tesla Destination,40.751987,-74.001701
10606,ChargePoint Network,41.027494,-73.777716
10016,Tesla Destination,40.745497,-73.98208
12065,ChargePoint Network,42.866693,-73.778011
11757,ChargePoint Network,40.682659,-73.367178
10033,Tesla Destination,40.847482,-73.937862
10956,ChargePoint Network,41.147053,-73.9881
12208,ChargePoint Network,42.654928,-73.802347
12484,Non-Networked,41.852508,-74.138776
14202,EV Connect,42.883926,-78.87605
12203,ChargePoint Network,42.685026,-73.847941
13326,Tesla Destination,42.70163,-74.926982
12845,ChargePoint Network,43.409306,-73.71263
12198,eVgo Network,42.6975,-73.648487
13502,ChargePoint Network,43.101554,-75.235544
13210,ChargePoint Network,43.046204,-76.13521
11961,Non-Networked,40.863461,-72.87583
10003,Tesla Destination,40.731544,-73.992045
12845,ChargePoint Network,43.414528,-73.714398
14760,Tesla Destination,42.087509,-78.42909
11356,EV Connect,40.785772,-73.857401
12401,ChargePoint Network,41.936001,-74.02821
10021,Tesla Destination,40.767519,-73.960678
10011,Tesla Destination,40.735594,-73.995291
12953,ChargePoint Network,44.848682,-74.30688
12504,EV Connect,42.022071,-73.910996
14611,ChargePoint Network,43.149397,-77.636852
12701,ChargePoint Network,41.65958,-74.69082
12866,ChargePoint Network,43.082428,-73.78791
12853,Non-Networked,43.69475,-73.985344
10044,ChargePoint Network,40.75516,-73.955605
12571,Tesla,41.979518,-73.88216
12401,ChargePoint Network,41.917039,-74.018726
13495,Non-Networked,43.110055,-75.293478
10011,Tesla Destination,40.742179,-73.999226
12817,Tesla,43.66446,-73.786451
10573,ChargePoint Network,41.015065,-73.686638
10038,Blink Network,40.710636,-74.006195
14211,ChargePoint Network,42.917819,-78.834371
12845,ChargePoint Network,43.359015,-73.701099
11201,Tesla Destination,40.695115,-73.990993
10022,Tesla Destination,40.755371,-73.963368
12205,ChargePoint Network,42.719147,-73.795407
10307,Tesla Destination,40.51337,-74.25137
13066,ChargePoint Network,43.026026,-76.007024
11729,ChargePoint Network,40.762395,-73.305358
12304,ChargePoint Network,42.775405,-73.893257
11215,FLO,40.66696,-73.975032
11207,EV Connect,40.678067,-73.899729
14445,Non-Networked,43.100001,-77.481422
10960,ChargePoint Network,41.081534,-73.922049
11231,Tesla Destination,40.677433,-73.990299
12010,ChargePoint Network,42.948395,-74.17905
11373,Electrify America,40.73487,-73.870375
10940,ChargePoint Network,41.441876,-74.366663
11933,EV Connect,40.913144,-72.793118
11784,ChargePoint Network,40.867476,-73.033034
12054,ChargePoint Network,42.620464,-73.839424
11217,Tesla Destination,40.687927,-73.982998
10033,EV Connect,40.850664,-73.930638
11790,ChargePoint Network,40.904197,-73.134755
12189,ChargePoint Network,42.732864,-73.72669
10011,Tesla Destination,40.7372,-74.00007
10065,Tesla Destination,40.764608,-73.969355
12401,ChargePoint Network,41.937641,-74.025344
12309,SemaCharge Network,42.82891,-73.8742
11232,ChargePoint Network,40.659333,-74.006419
12205,EV Connect,42.739746,-73.808186
12866,ChargePoint Network,43.093051,-73.74335
12110,ChargePoint Network,42.764587,-73.814445
12180,ChargePoint Network,42.73959,-73.67085
14467,Tesla Destination,43.055362,-77.65315
11976,Tesla Destination,40.905728,-72.362692
12866,LIVINGSTON,43.090647,-73.772099
14210,ChargePoint Network,42.875076,-78.847686
12204,ChargePoint Network,42.676277,-73.733406
12401,ChargePoint Network,41.917631,-73.983671
11374,Blink Network,40.733347,-73.858012
10605,ChargePoint Network,41.02841,-73.75938
12942,Greenlots,44.252615,-73.787909
12010,ChargePoint Network,42.960323,-74.17231
12009,ChargePoint Network,42.713859,-73.935219
12203,ChargePoint Network,42.679023,-73.844938
11772,Non-Networked,40.792986,-73.00827
10021,Tesla Destination,40.770385,-73.968296
12047,ChargePoint Network,42.78178,-73.705505
12866,ChargePoint Network,43.095194,-73.782384
12496,Tesla Destination,42.310435,-74.241272
13202,ChargePoint Network,43.052745,-76.15511
13088,OpConnect,43.130229,-76.187377
14428,Non-Networked,43.099649,-77.897024
14534,ChargePoint Network,43.09121,-77.514398
14624,ChargePoint Network,43.101692,-77.747126
12514,Tesla,41.825379,-73.770409
12206,ChargePoint Network,42.678158,-73.78155
12222,EV Connect,42.688926,-73.828718
12110,ChargePoint Network,42.739933,-73.78839
10467,ChargePoint Network,40.892423,-73.882373
12084,ChargePoint Network,42.690962,-73.887467
10025,Tesla Destination,40.804167,-73.965894
12946,ChargePoint Network,44.285329,-73.984273
10003,Tesla Destination,40.732324,-73.99517
12801,ChargePoint Network,43.307865,-73.64547
10314,Volta,40.58333,-74.166262
